mesh,n_v,n_t,bytes,bpv,kernel_us,mtps,bitstream_b,vbuf_b,ibuf_b,scratch_b,smem_per_block_b,smem_total_b,static_b,peak_b
assets/fandisk.obj,6475,12946,35502,43.8634749034749,207.96415328979492,62.25111296926227,35502,77700,155352,17660,5376,7053312,286214,4194304
assets/stanford-bunny.obj,35947,69451,179124,39.864022032436644,263.9356803894043,263.1360788262264,179124,418008,833412,97924,5872,7704064,1528468,2097152
assets/horse.obj,48485,96966,238738,39.391646901103435,262.58432388305664,369.2756618753233,238738,581820,1163592,129324,5344,7011328,2113474,4194304
assets/Monkey.obj,504482,1007616,2076221,32.92440166348849,1077.760009765625,934.9168561367583,2076221,6053784,12091392,1311916,5712,7494144,21533313,23068672
assets/happy_buddha.obj,543522,1087446,2587375,38.08309507250856,2133.3299255371094,509.7411267627595,2587375,6522264,13049352,1518268,5792,7599104,23677259,29360128
assets/crab.obj,1079516,2141596,5019724,37.1998117674958,3536.7218017578125,605.5313705860578,5019724,12849600,25699152,3150188,5888,7725056,46718664,54525952
assets/tank.obj,1790492,3505328,7160757,31.99458919671241,5230.540771484375,670.1655054693748,7160757,21485904,42063936,3798852,6000,7872000,74509449,81788928
assets/xyzrgb_dragon.obj,3609600,7219045,14484669,32.10254654255319,10446.397705078125,691.0559222238621,14484669,43315200,86628540,9785020,5824,7641088,154213429,159383552
